2025-08-12 22:37:41 status half-installed libnpth0t64:amd64 1.8-3
2025-08-12 22:37:41 status unpacked libnpth0t64:amd64 1.8-3
2025-08-12 22:37:41 install dirmngr:amd64 <none> 2.4.7-21+b3
2025-08-12 22:37:41 status half-installed dirmngr:amd64 2.4.7-21+b3
2025-08-12 22:37:41 status unpacked dirmngr:amd64 2.4.7-21+b3
2025-08-12 22:37:41 install libdpkg-perl:all <none> 1.22.21
2025-08-12 22:37:41 status half-installed libdpkg-perl:all 1.22.21
2025-08-12 22:37:41 status unpacked libdpkg-perl:all 1.22.21
2025-08-12 22:37:41 install patch:amd64 <none> 2.8-2
2025-08-12 22:37:41 status half-installed patch:amd64 2.8-2
2025-08-12 22:37:41 status unpacked patch:amd64 2.8-2
2025-08-12 22:37:41 install make:amd64 <none> 4.4.1-2
2025-08-12 22:37:41 status half-installed make:amd64 4.4.1-2
2025-08-12 22:37:41 status unpacked make:amd64 4.4.1-2
2025-08-12 22:37:41 install dpkg-dev:all <none> 1.22.21
2025-08-12 22:37:41 status half-installed dpkg-dev:all 1.22.21
2025-08-12 22:37:41 status unpacked dpkg-dev:all 1.22.21
2025-08-12 22:37:41 install fonts-dejavu-mono:all <none> 2.37-8
2025-08-12 22:37:41 status half-installed fonts-dejavu-mono:all 2.37-8
2025-08-12 22:37:41 status unpacked fonts-dejavu-mono:all 2.37-8
2025-08-12 22:37:41 install fonts-dejavu-core:all <none> 2.37-8
2025-08-12 22:37:41 status half-installed fonts-dejavu-core:all 2.37-8
2025-08-12 22:37:41 status unpacked fonts-dejavu-core:all 2.37-8
2025-08-12 22:37:41 install fontconfig-config:amd64 <none> 2.15.0-2.3
2025-08-12 22:37:41 status half-installed fontconfig-config:amd64 2.15.0-2.3
2025-08-12 22:37:41 status unpacked fontconfig-config:amd64 2.15.0-2.3
2025-08-12 22:37:42 install libcc1-0:amd64 <none> 14.2.0-19
2025-08-12 22:37:42 status half-installed libcc1-0:amd64 14.2.0-19
2025-08-12 22:37:42 status unpacked libcc1-0:amd64 14.2.0-19
2025-08-12 22:37:42 install libgomp1:amd64 <none> 14.2.0-19
2025-08-12 22:37:42 status half-installed libgomp1:amd64 14.2.0-19
2025-08-12 22:37:42 status unpacked libgomp1:amd64 14.2.0-19
2025-08-12 22:37:42 install libitm1:amd64 <none> 14.2.0-19
2025-08-12 22:37:42 status half-installed libitm1:amd64 14.2.0-19
2025-08-12 22:37:42 status unpacked libitm1:amd64 14.2.0-19
2025-08-12 22:37:42 install libatomic1:amd64 <none> 14.2.0-19
2025-08-12 22:37:42 status half-installed libatomic1:amd64 14.2.0-19
2025-08-12 22:37:42 status unpacked libatomic1:amd64 14.2.0-19
2025-08-12 22:37:42 install libasan8:amd64 <none> 14.2.0-19
2025-08-12 22:37:42 status half-installed libasan8:amd64 14.2.0-19
2025-08-12 22:37:42 status unpacked libasan8:amd64 14.2.0-19
2025-08-12 22:37:42 install liblsan0:amd64 <none> 14.2.0-19
2025-08-12 22:37:42 status half-installed liblsan0:amd64 14.2.0-19
2025-08-12 22:37:42 status unpacked liblsan0:amd64 14.2.0-19
2025-08-12 22:37:42 install libtsan2:amd64 <none> 14.2.0-19
2025-08-12 22:37:42 status half-installed libtsan2:amd64 14.2.0-19
2025-08-12 22:37:42 status unpacked libtsan2:amd64 14.2.0-19
2025-08-12 22:37:42 install libubsan1:amd64 <none> 14.2.0-19
2025-08-12 22:37:42 status half-installed libubsan1:amd64 14.2.0-19
2025-08-12 22:37:42 status unpacked libubsan1:amd64 14.2.0-19
2025-08-12 22:37:42 install libhwasan0:amd64 <none> 14.2.0-19
2025-08-12 22:37:42 status half-installed libhwasan0:amd64 14.2.0-19
2025-08-12 22:37:42 status unpacked libhwasan0:amd64 14.2.0-19
2025-08-12 22:37:42 install libquadmath0:amd64 <none> 14.2.0-19
2025-08-12 22:37:42 status half-installed libquadmath0:amd64 14.2.0-19
2025-08-12 22:37:42 status unpacked libquadmath0:amd64 14.2.0-19
2025-08-12 22:37:42 install libgcc-14-dev:amd64 <none> 14.2.0-19
2025-08-12 22:37:42 status half-installed libgcc-14-dev:amd64 14.2.0-19
2025-08-12 22:37:42 status unpacked libgcc-14-dev:amd64 14.2.0-19
2025-08-12 22:37:42 install gcc-14-x86-64-linux-gnu:amd64 <none> 14.2.0-19
2025-08-12 22:37:42 status half-installed gcc-14-x86-64-linux-gnu:amd64 14.2.0-19
2025-08-12 22:37:43 status unpacked gcc-14-x86-64-linux-gnu:amd64 14.2.0-19
2025-08-12 22:37:43 install gcc-14:amd64 <none> 14.2.0-19
2025-08-12 22:37:43 status half-installed gcc-14:amd64 14.2.0-19
2025-08-12 22:37:43 status unpacked gcc-14:amd64 14.2.0-19
2025-08-12 22:37:43 install gcc-x86-64-linux-gnu:amd64 <none> 4:14.2.0-1
2025-08-12 22:37:43 status half-installed gcc-x86-64-linux-gnu:amd64 4:14.2.0-1
2025-08-12 22:37:43 status unpacked gcc-x86-64-linux-gnu:amd64 4:14.2.0-1
2025-08-12 22:37:43 install gcc:amd64 <none> 4:14.2.0-1
2025-08-12 22:37:43 status half-installed gcc:amd64 4:14.2.0-1
2025-08-12 22:37:43 status unpacked gcc:amd64 4:14.2.0-1
